id_pedido;fecha_sistema;hora;clasificador_grupo;clasificacion;producto;state;precio;cantidad;a_pagar_xprod;pago_pedido_tot;product_observations;tipo_forma_pago;monto;observaciones_pedido;pagado_cliente;cambio;ubicacion;numero_pedido;fecha_modificacion;motivo_modificacion;es_anulado;es_cortesia;estado;saldo_inicial;saldo_final;stateprod
3208;2016-07-05;21:46:33.0000000;MENU;Sandwiches;Niki's club;ACTIVO;18.00;1;18.00;18.00;;EFE;18.00;;100.00;82.00;0 - Para llevar;2;;;;;CERRADO;500.00;620.00;ACTIVO
3209;2016-07-05;22:00:30.0000000;MENU;Sandwiches;Sand de Pollo BBQ;ACTIVO;20.00;1;20.00;20.00;;EFE;20.00;;100.00;80.00;1 - Mesa 1;3;;;;;CERRADO;500.00;620.00;ACTIVO
3210;2016-07-05;23:04:04.0000000;MENU;Fingers;Fingers miel;ACTIVO;22.00;1;22.00;30.00;;EFE;30.00;;30.00;.00;0 - Para llevar;3;;;;;CERRADO;500.00;620.00;ACTIVO
3210;2016-07-05;23:04:04.0000000;BEBIDAS;jugos - aguas;Aquarius 500;ACTIVO;8.00;1;8.00;30.00;;EFE;30.00;;30.00;.00;0 - Para llevar;3;;;;;CERRADO;500.00;620.00;ACTIVO
3211;2016-07-07;23:03:19.0000000;MENU;Alitas 8 UNIDADES;Alitas Barbacoa;ACTIVO;27.00;1;27.00;81.00;;EFE;81.00;;100.00;19.00;20 - Mesa 20;1;;;;;CERRADO;500.00;.00;ACTIVO
3211;2016-07-07;23:03:19.0000000;MENU;Burguers;HAMBURGUESA CLASICA;ACTIVO;15.00;1;15.00;81.00;;EFE;81.00;;100.00;19.00;20 - Mesa 20;1;;;;;CERRADO;500.00;.00;ACTIVO
3211;2016-07-07;23:03:19.0000000;MENU;Salchis;Salchibeef;ACTIVO;19.00;1;19.00;81.00;;EFE;81.00;;100.00;19.00;20 - Mesa 20;1;;;;;CERRADO;500.00;.00;ACTIVO
3211;2016-07-07;23:03:19.0000000;MENU;Sandwiches;Sand de Pollo BBQ;ACTIVO;20.00;1;20.00;81.00;;EFE;81.00;;100.00;19.00;20 - Mesa 20;1;;;;;CERRADO;500.00;.00;ACTIVO
3212;2016-07-07;23:04:19.0000000;MENU;Salchis;Salchibeef;ACTIVO;19.00;1;19.00;66.00;;EFE;66.00;;100.00;34.00;0 - Para llevar;2;;;;;CERRADO;500.00;.00;ACTIVO
3212;2016-07-07;23:04:19.0000000;MENU;Alitas 8 UNIDADES;Alitas Picantes;ACTIVO;27.00;1;27.00;66.00;;EFE;66.00;;100.00;34.00;0 - Para llevar;2;;;;;CERRADO;500.00;.00;ACTIVO
3212;2016-07-07;23:04:19.0000000;MENU;Sandwiches;Sand de Pollo BBQ;ACTIVO;20.00;1;20.00;66.00;;EFE;66.00;;100.00;34.00;0 - Para llevar;2;;;;;CERRADO;500.00;.00;ACTIVO
3213;2016-07-07;23:05:33.0000000;MENU;Burguers;HAMBURGUESA BBQ;ACTIVO;17.00;1;17.00;117.00;;EFE;117.00;;200.00;83.00;0 - Para llevar;3;;;;;CERRADO;500.00;.00;ACTIVO
3213;2016-07-07;23:05:33.0000000;MENU;Fingers;Fingers Barbacoa;ACTIVO;22.00;1;22.00;117.00;;EFE;117.00;;200.00;83.00;0 - Para llevar;3;;;;;CERRADO;500.00;.00;ACTIVO
3213;2016-07-07;23:05:33.0000000;MENU;Fingers;Fingers miel;ACTIVO;22.00;1;22.00;117.00;;EFE;117.00;;200.00;83.00;0 - Para llevar;3;;;;;CERRADO;500.00;.00;ACTIVO
3213;2016-07-07;23:05:33.0000000;MENU;Platos;CHILI MEXIC;ACTIVO;18.00;1;18.00;117.00;;EFE;117.00;;200.00;83.00;0 - Para llevar;3;;;;;CERRADO;500.00;.00;ACTIVO
3213;2016-07-07;23:05:33.0000000;MENU;Platos;Costillitas;ACTIVO;38.00;1;38.00;117.00;;EFE;117.00;;200.00;83.00;0 - Para llevar;3;;;;;CERRADO;500.00;.00;ACTIVO
3214;2016-07-09;20:22:36.0000000;MENU;Alitas 8 UNIDADES;Alitas Miel Mostaza;ACTIVO;27.00;1;27.00;64.00;;EFE;64.00;;100.00;36.00;0 - Para llevar;1;;;;;CERRADO;450.00;.00;ACTIVO
3214;2016-07-09;20:22:36.0000000;MENU;Burguers;HAMBURGUESA CLASICA;ACTIVO;15.00;1;15.00;64.00;;EFE;64.00;;100.00;36.00;0 - Para llevar;1;;;;;CERRADO;450.00;.00;ACTIVO
3214;2016-07-09;20:22:36.0000000;MENU;Fingers;Fingers miel;ACTIVO;22.00;1;22.00;64.00;;EFE;64.00;;100.00;36.00;0 - Para llevar;1;;;;;CERRADO;450.00;.00;ACTIVO
3215;2016-07-09;20:34:06.0000000;MENU;Burguers;HAMBURGUESA CLASICA;ACTIVO;15.00;1;15.00;77.00;;EFE;77.00;;100.00;23.00;0 - Para llevar;2;;;;;CERRADO;450.00;.00;ACTIVO
3215;2016-07-09;20:34:06.0000000;MENU;Burguers;HAMBURGUESA BBQ;ACTIVO;17.00;1;17.00;77.00;;EFE;77.00;;100.00;23.00;0 - Para llevar;2;;;;;CERRADO;450.00;.00;ACTIVO
3215;2016-07-09;20:34:06.0000000;MENU;Alitas 8 UNIDADES;Alitas Barbacoa - Miel;ACTIVO;27.00;1;27.00;77.00;;EFE;77.00;;100.00;23.00;0 - Para llevar;2;;;;;CERRADO;450.00;.00;ACTIVO
3215;2016-07-09;20:34:06.0000000;MENU;Platos;CHILI MEXIC;ACTIVO;18.00;1;18.00;77.00;;EFE;77.00;;100.00;23.00;0 - Para llevar;2;;;;;CERRADO;450.00;.00;ACTIVO
4211;2016-07-14;21:24:19.0000000;MENU;Alitas 8 UNIDADES;Alitas Barbacoa - Miel;ACTIVO;27.00;2;54.00;60.00;;EFE;60.00;;100.00;40.00;. - Sin Mesa;1;;;;;CERRADO;500.00;.00;ACTIVO
4211;2016-07-14;21:24:19.0000000;BEBIDAS;Popular;Fanta Popular;ACTIVO;6.00;1;6.00;60.00;;EFE;60.00;;100.00;40.00;. - Sin Mesa;1;;;;;CERRADO;500.00;.00;ACTIVO
4212;2016-07-14;21:34:29.0000000;MENU;Alitas 8 UNIDADES;Alitas Miel - Picante;ACTIVO;27.00;1;27.00;27.00;;EFE;27.00;;27.00;.00;0 - Para llevar;2;;;;;CERRADO;500.00;.00;ACTIVO
4213;2016-07-14;22:13:19.0000000;MENU;Alitas 8 UNIDADES;Alitas Miel - Picante;ACTIVO;27.00;1;27.00;47.00;;EFE;47.00;;47.00;.00;. - Sin Mesa;3;;;;;CERRADO;500.00;.00;ACTIVO
4213;2016-07-14;22:13:19.0000000;MENU;Sandwiches;Sand de Pollo BBQ;ACTIVO;20.00;1;20.00;47.00;;EFE;47.00;;47.00;.00;. - Sin Mesa;3;;;;;CERRADO;500.00;.00;ACTIVO
4214;2016-07-14;22:33:12.0000000;MENU;Fingers;Fingers miel;ACTIVO;22.00;1;22.00;22.00;;EFE;22.00;;22.00;.00;. - Sin Mesa;4;;;;;CERRADO;500.00;.00;ACTIVO
4215;2016-07-14;22:40:26.0000000;MENU;Salchis;Salchibeef;ACTIVO;19.00;1;19.00;19.00;;EFE;19.00;;20.00;1.00;0 - Para llevar;5;;;;;CERRADO;500.00;.00;ACTIVO
4216;2016-07-14;22:52:15.0000000;MENU;Fingers;Fingers miel;ACTIVO;22.00;1;22.00;22.00;;EFE;22.00;;22.00;.00;0 - Para llevar;6;;;;;CERRADO;500.00;.00;ACTIVO
4217;2016-07-14;23:01:59.0000000;MENU;Alitas 8 UNIDADES;Alitas Miel Mostaza;ACTIVO;27.00;1;27.00;327.00;;EFE;327.00;;327.00;.00;. - Sin Mesa;7;;;;;CERRADO;500.00;.00;ACTIVO
4217;2016-07-14;23:01:59.0000000;MENU;Alitas 8 UNIDADES;Alitas Barbacoa;ACTIVO;27.00;1;27.00;327.00;;EFE;327.00;;327.00;.00;. - Sin Mesa;7;;;;;CERRADO;500.00;.00;ACTIVO
4217;2016-07-14;23:01:59.0000000;MENU;Alitas 8 UNIDADES;Alitas Picantes;ACTIVO;27.00;1;27.00;327.00;;EFE;327.00;;327.00;.00;. - Sin Mesa;7;;;;;CERRADO;500.00;.00;ACTIVO
4217;2016-07-14;23:01:59.0000000;MENU;Alitas 8 UNIDADES;Alitas Barbacoa - Miel;ACTIVO;27.00;1;27.00;327.00;;EFE;327.00;;327.00;.00;. - Sin Mesa;7;;;;;CERRADO;500.00;.00;ACTIVO
4217;2016-07-14;23:01:59.0000000;MENU;Alitas 8 UNIDADES;Alitas Picante - Barbacoa;ACTIVO;27.00;1;27.00;327.00;;EFE;327.00;;327.00;.00;. - Sin Mesa;7;;;;;CERRADO;500.00;.00;ACTIVO
4217;2016-07-14;23:01:59.0000000;MENU;Alitas 8 UNIDADES;Alitas Miel - Picante;ACTIVO;27.00;1;27.00;327.00;;EFE;327.00;;327.00;.00;. - Sin Mesa;7;;;;;CERRADO;500.00;.00;ACTIVO
4217;2016-07-14;23:01:59.0000000;MENU;Burguers;HAMBURGUESA CLASICA;ACTIVO;15.00;1;15.00;327.00;;EFE;327.00;;327.00;.00;. - Sin Mesa;7;;;;;CERRADO;500.00;.00;ACTIVO
4217;2016-07-14;23:01:59.0000000;MENU;Burguers;HAMBURGUESA BBQ;ACTIVO;17.00;1;17.00;327.00;;EFE;327.00;;327.00;.00;. - Sin Mesa;7;;;;;CERRADO;500.00;.00;ACTIVO
4217;2016-07-14;23:01:59.0000000;MENU;Salchis;Salchipapa;ACTIVO;15.00;1;15.00;327.00;;EFE;327.00;;327.00;.00;. - Sin Mesa;7;;;;;CERRADO;500.00;.00;ACTIVO
4217;2016-07-14;23:01:59.0000000;MENU;Salchis;Salchibeef;ACTIVO;19.00;1;19.00;327.00;;EFE;327.00;;327.00;.00;. - Sin Mesa;7;;;;;CERRADO;500.00;.00;ACTIVO
4217;2016-07-14;23:01:59.0000000;MENU;Fingers;Fingers Barbacoa;ACTIVO;22.00;1;22.00;327.00;;EFE;327.00;;327.00;.00;. - Sin Mesa;7;;;;;CERRADO;500.00;.00;ACTIVO
4217;2016-07-14;23:01:59.0000000;MENU;Fingers;Fingers miel;ACTIVO;22.00;1;22.00;327.00;;EFE;327.00;;327.00;.00;. - Sin Mesa;7;;;;;CERRADO;500.00;.00;ACTIVO
4217;2016-07-14;23:01:59.0000000;MENU;Sandwiches;Sandwich de Lomito;ACTIVO;17.00;1;17.00;327.00;;EFE;327.00;;327.00;.00;. - Sin Mesa;7;;;;;CERRADO;500.00;.00;ACTIVO
4217;2016-07-14;23:01:59.0000000;MENU;Sandwiches;Niki's club;ACTIVO;18.00;1;18.00;327.00;;EFE;327.00;;327.00;.00;. - Sin Mesa;7;;;;;CERRADO;500.00;.00;ACTIVO
4217;2016-07-14;23:01:59.0000000;MENU;Sandwiches;Sand de Pollo BBQ;ACTIVO;20.00;1;20.00;327.00;;EFE;327.00;;327.00;.00;. - Sin Mesa;7;;;;;CERRADO;500.00;.00;ACTIVO
4218;2016-07-14;00:00:16.0000000;MENU;Salchis;Salchipapa;ACTIVO;15.00;1;15.00;15.00;;EFE;15.00;;20.00;5.00;0 - Para llevar;8;;;;;CERRADO;500.00;.00;ACTIVO
4219;2016-07-15;19:25:41.0000000;MENU;Burguers;HAMBURGUESA BBQ;ACTIVO;17.00;1;17.00;44.00;;EFE;44.00;;100.00;56.00;. - Sin Mesa;1;;;;;CERRADO;500.00;.00;ACTIVO
4219;2016-07-15;19:25:41.0000000;MENU;Alitas 8 UNIDADES;Alitas Picantes;ACTIVO;27.00;1;27.00;44.00;;EFE;44.00;;100.00;56.00;. - Sin Mesa;1;;;;;CERRADO;500.00;.00;ACTIVO
4220;2016-07-15;19:27:13.0000000;MENU;Alitas 8 UNIDADES;Alitas Picantes;ACTIVO;27.00;1;27.00;81.00;;EFE;81.00;;81.00;.00;. - Sin Mesa;2;;;;;CERRADO;500.00;.00;ACTIVO
4220;2016-07-15;19:27:13.0000000;MENU;Alitas 8 UNIDADES;Alitas Miel Mostaza;ACTIVO;27.00;1;27.00;81.00;;EFE;81.00;;81.00;.00;. - Sin Mesa;2;;;;;CERRADO;500.00;.00;ACTIVO
4220;2016-07-15;19:27:13.0000000;MENU;Alitas 8 UNIDADES;Alitas Barbacoa;ACTIVO;27.00;1;27.00;81.00;;EFE;81.00;;81.00;.00;. - Sin Mesa;2;;;;;CERRADO;500.00;.00;ACTIVO
4221;2016-07-15;19:37:04.0000000;MENU;Alitas 8 UNIDADES;Alitas Picante - Barbacoa;ACTIVO;27.00;2;54.00;81.00;;EFE;81.00;;81.00;.00;15 - Mesa 15;1;;;;;CERRADO;5000.00;.00;ACTIVO
4221;2016-07-15;19:37:04.0000000;MENU;Alitas 8 UNIDADES;Alitas Barbacoa;ACTIVO;27.00;1;27.00;81.00;;EFE;81.00;;81.00;.00;15 - Mesa 15;1;;;;;CERRADO;5000.00;.00;ACTIVO
4222;2016-07-15;19:48:58.0000000;MENU;Fingers;Fingers Barbacoa;ACTIVO;22.00;1;22.00;50.00;;EFE;50.00;;50.00;.00;. - Sin Mesa;2;;;;;CERRADO;5000.00;.00;ACTIVO
4222;2016-07-15;19:48:58.0000000;MENU;Fingers;Fingers miel;ACTIVO;22.00;1;22.00;50.00;;EFE;50.00;;50.00;.00;. - Sin Mesa;2;;;;;CERRADO;5000.00;.00;ACTIVO
4222;2016-07-15;19:48:58.0000000;BEBIDAS;Popular;Fanta Popular;ACTIVO;6.00;1;6.00;50.00;;EFE;50.00;;50.00;.00;. - Sin Mesa;2;;;;;CERRADO;5000.00;.00;ACTIVO
4223;2016-07-15;20:16:46.0000000;MENU;Alitas 8 UNIDADES;Alitas Miel Mostaza;ACTIVO;27.00;2;54.00;54.00;;EFE;54.00;;54.00;.00;. - Sin Mesa;3;;;;;CERRADO;5000.00;.00;ACTIVO
4224;2016-07-15;20:23:09.0000000;MENU;Sandwiches;Niki's club;ACTIVO;18.00;1;18.00;111.00;;EFE;111.00;;111.00;.00;. - Sin Mesa;4;;;;;CERRADO;5000.00;.00;ACTIVO
4224;2016-07-15;20:23:09.0000000;MENU;Fingers;Fingers Barbacoa;ACTIVO;22.00;2;44.00;111.00;;EFE;111.00;;111.00;.00;. - Sin Mesa;4;;;;;CERRADO;5000.00;.00;ACTIVO
4224;2016-07-15;20:23:09.0000000;MENU;Fingers;Fingers miel;ACTIVO;22.00;1;22.00;111.00;;EFE;111.00;;111.00;.00;. - Sin Mesa;4;;;;;CERRADO;5000.00;.00;ACTIVO
4224;2016-07-15;20:23:09.0000000;MENU;Alitas 8 UNIDADES;Alitas Barbacoa;ACTIVO;27.00;1;27.00;111.00;;EFE;111.00;;111.00;.00;. - Sin Mesa;4;;;;;CERRADO;5000.00;.00;ACTIVO
4225;2016-07-15;20:26:52.0000000;MENU;Burguers;HAMBURGUESA CLASICA;ACTIVO;15.00;2;30.00;30.00;una sin tomate ni tocino;EFE;30.00;;30.00;.00;0 - Para llevar;5;;;;;CERRADO;5000.00;.00;ACTIVO
4226;2016-07-15;20:27:48.0000000;MENU;Burguers;HAMBURGUESA CLASICA;ACTIVO;15.00;1;15.00;33.00;;EFE;33.00;;33.00;.00;. - Sin Mesa;6;;;;;CERRADO;5000.00;.00;ACTIVO
4226;2016-07-15;20:27:48.0000000;MENU;Sandwiches;Niki's club;ACTIVO;18.00;1;18.00;33.00;;EFE;33.00;;33.00;.00;. - Sin Mesa;6;;;;;CERRADO;5000.00;.00;ACTIVO
4227;2016-07-15;20:28:58.0000000;MENU;Sandwiches;Niki's club;ACTIVO;18.00;1;18.00;45.00;;EFE;45.00;;45.00;.00;. - Sin Mesa;7;;;;;CERRADO;5000.00;.00;ACTIVO
4227;2016-07-15;20:28:58.0000000;MENU;Alitas 8 UNIDADES;Alitas Barbacoa;ACTIVO;27.00;1;27.00;45.00;;EFE;45.00;;45.00;.00;. - Sin Mesa;7;;;;;CERRADO;5000.00;.00;ACTIVO
4228;2016-07-15;20:29:23.0000000;MENU;Salchis;Salchipapa;ACTIVO;15.00;1;15.00;15.00;;EFE;15.00;;15.00;.00;. - Sin Mesa;8;;;;;CERRADO;5000.00;.00;ACTIVO
4229;2016-07-15;23:08:32.0000000;MENU;Alitas 8 UNIDADES;Alitas Barbacoa;ACTIVO;27.00;2;54.00;54.00;SOLO UNA SALSA APARTE;EFE;54.00;;100.00;46.00;0 - Para llevar;3;;;;;CERRADO;500.00;.00;ACTIVO
5251;2016-07-15;21:25:56.0000000;MENU;Alitas 8 UNIDADES;Alitas Picantes;ACTIVO;27.00;1;27.00;51.00;;EFE;51.00;;60.00;9.00;. - Sin Mesa;4;;;;;CERRADO;500.00;.00;ACTIVO
5251;2016-07-15;21:25:56.0000000;MENU;Platos;CHILI MEXIC;ACTIVO;18.00;1;18.00;51.00;;EFE;51.00;;60.00;9.00;. - Sin Mesa;4;;;;;CERRADO;500.00;.00;ACTIVO
5251;2016-07-15;21:25:56.0000000;BEBIDAS;Popular;Fanta Popular;ACTIVO;6.00;1;6.00;51.00;;EFE;51.00;;60.00;9.00;. - Sin Mesa;4;;;;;CERRADO;500.00;.00;ACTIVO
5413;2016-07-15;17:26:04.0000000;MENU;Alitas 8 UNIDADES;Alitas Miel Mostaza;ACTIVO;27.00;1;27.00;63.00;;EFE;63.00;;100.00;10.00;0 - Para llevar;9;;;;;CERRADO;5000.00;.00;ACTIVO
5413;2016-07-15;17:26:04.0000000;MENU;Burguers;HAMBURGUESA BBQ;ACTIVO;17.00;1;17.00;63.00;;EFE;63.00;;100.00;10.00;0 - Para llevar;9;;;;;CERRADO;5000.00;.00;ACTIVO
5413;2016-07-15;17:26:04.0000000;MENU;Salchis;Salchibeef;ACTIVO;19.00;1;19.00;63.00;;EFE;63.00;;100.00;10.00;0 - Para llevar;9;;;;;CERRADO;5000.00;.00;ACTIVO
